event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
53,Delta Green - Last Things Last,Y,11/11/2016 4:00 PM,11/11/2016 7:00 PM,Role Playing,,,"The Unnatural is out there, and someone has to keep this green ball hurling through space safe. Delta Green are those people.<br /> <br /> Deception is a Right<br /> Truth is a Privilege<br /> Innocence is a Luxury",,Adam Larson,,,,,Gaming Table 4,,,,,,,,,,n
54,Delta Green,Y,11/12/2016 4:00 PM,11/12/2016 7:00 PM,Role Playing,,,"The Unnatural is out there, and someone has to keep this green ball hurling through space safe. Delta Green are those people.<br /> <br /> Deception is a Right<br /> Truth is a Privilege<br /> Innocence is a Luxury",,Adam Larson,,,,,RPGA Table 4,,,,,,,,,,n
55,Delta Green,Y,11/13/2016 4:00 PM,11/13/2016 7:00 PM,Role Playing,,,"The Unnatural is out there, and someone has to keep this green ball hurling through space safe. Delta Green are those people.<br /> <br /> Deception is a Right<br /> Truth is a Privilege<br /> Innocence is a Luxury",,Adam Larson,,,,,RPGA Table 4,,,,,,,,,,n
56,NaNoWriMo Mini-Prompt,Y,11/10/2016 6:00 PM,11/10/2016 7:00 PM,Exercise,,,"It is National Novel Writing Month, and many are furiously scratching pencil to paper. For those who love writing, who are looking to have a break, or who are looking to find others working on this lofty goal, this is the event for you! Paper and pencils will be provided, as well as a character design who will stand in as a loose prompt for those who need to get creative juices flowing. At the end of the hour, the character design will be given to whoever writes the most compelling backstory!",,Galacia,,,,,Gaming Table 1,,,,,,,,Galacia Barton,,n
57,Warhammer 40k,Y,11/12/2016 12:00 PM,11/12/2016 2:00 PM,Miniatures,,,Playing Warhammer 40K and talking about the game its mechanics and lore.,,Carl,,,,,Miniatures Area,,,,,,,,,,n
58,Mouse Guard,Y,11/12/2016 12:00 AM,11/12/2016 2:00 AM,Role Playing,,,"You play as a group of Mice of the Mouse Patrol working to keep the land safe from Predators, and to help solve other mousy problems",,Zene Huber,,,,,Gaming Table 2,,,,,,,,,,n
59,Mouse Guard,Y,11/13/2016 12:00 AM,11/13/2016 2:00 AM,Role Playing,,,"You are a group of Mice from the Mouse Patrol that protect the land from Predators, and help residents with issues that arise.",,Zene Huber,,,,,Gaming Table 2,,,,,,,,,,n
6,Persona 3 The Movie #1 Spring of Birth,Y,11/11/2016 10:00 PM,11/11/2016 11:30 PM,Anime,,,"Time counts down till the midnight hour and it's resolution, the time has come for Makoto to finish his saga. Will the world end or will he triumph over the apathy in humanity's heart? Movie showing of all four Persona 3 movies over the weekend.",,Tracy Booze,,,,,Speed Run Allayway,,,,,,,,,,y
60,Freeplay,Y,11/10/2016 6:00 PM,11/10/2016 10:00 PM,Video Game,,,"If there are no scheduled events here in Speedrun alley it is freeplay. We have a PS3, PSTV (Plays some vita games), and PS2 (If it deigns to work for us).<br /> <br /> Some games that will be in the the Alley: Journey, Bastion, Don't Starve: Giant's Edition, Dragon Fin Soup, The Cave (Digital)<br /> Muramasa (PSTV), Various Tales of games in the series, Project Diva F 2nd, Eternal Sonata and various others, come browse and sample, just ask the person currently playing if you can play one of the games. <br />",,Tracy Booze,,,,,Speed Run Allayway,,,,,,,,,,n
61,Lost Dimension,Y,11/11/2016 10:00 AM,11/11/2016 3:00 PM,Video Game,,,"Trapped in a tower with twelve other psychics, your goal, get to the top floor to stop your Enemy and the countdown to the bombs that will destroy the worlds population. The obstacle you have is that their is a traitor among you, can you find the right traitors? Or will you choose wrong and let the traitors through the judgment and if so, what consequences will that hold for you? (PS3, one player)",,Tracy Booze,,,,,Speed Run Allayway,,,,,,,,,,n
